@relation relationship

@attribute Att1 numeric
@attribute Att2 numeric
@attribute Att3 numeric
@attribute Att4 numeric
@attribute Att5 numeric
@attribute Att6 numeric
@attribute Att7 numeric
@attribute Att8 numeric
@attribute Att9 numeric
@attribute Att10 numeric
@attribute Att11 numeric
@attribute Att12 numeric
@attribute Att13 numeric
@attribute Att14 numeric
@attribute Att15 numeric
@attribute Att16 numeric
@attribute Att17 numeric
@attribute Att18 numeric
@attribute Att19 numeric
@attribute Att20 numeric
@attribute Att21 numeric
@attribute Att22 numeric
@attribute Att23 numeric
@attribute Att24 numeric
@attribute Att25 numeric
@attribute Att26 numeric
@attribute Att27 numeric
@attribute Att28 numeric
@attribute Att29 numeric
@attribute Att30 numeric
@attribute class {0,1}

@data
0.333333,0.000000,0.000000,0.090909,0.000000,0.121212,0.000000,0.030303,0.181818,0.060606,0.000000,0.000000,0.000000,0.000000,0.000000,0.060606,0.000000,0.090909,0.030303,0.000000,0.051701,0.085446,0.009159,0.424749,0.081400,0.095716,0.025560,0.085407,0.038467,0.332866,1
0.061224,0.163265,0.040816,0.040816,0.040816,0.102041,0.061224,0.000000,0.061224,0.040816,0.000000,0.102041,0.000000,0.020408,0.061224,0.040816,0.081633,0.000000,0.061224,0.020408,0.024536,0.532758,0.022363,0.161842,0.059761,0.016627,0.004137,0.093570,0.034498,0.376600,1
0.117647,0.000000,0.058824,0.058824,0.088235,0.058824,0.029412,0.147059,0.117647,0.058824,0.000000,0.088235,0.058824,0.029412,0.000000,0.000000,0.000000,0.088235,0.000000,0.000000,0.013161,0.103870,0.006257,0.251965,0.014329,0.073705,0.129526,0.211925,0.004735,0.260779,1
0.000000,0.000000,0.000000,0.000000,0.000000,0.055556,0.055556,0.111111,0.000000,0.000000,0.000000,0.111111,0.333333,0.055556,0.166667,0.000000,0.000000,0.055556,0.000000,0.055556,0.089895,0.323692,0.058881,0.271583,0.060834,0.320500,0.177809,1.764439,0.005118,0.032782,1
0.000000,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.250000,0.000000,0.000000,0.087508,0.472395,0.057905,0.085621,0.072520,0.692941,0.249389,0.487939,0.031755,0.015299,1
0.117647,0.000000,0.058824,0.000000,0.058824,0.176471,0.058824,0.235294,0.117647,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.058824,0.000000,0.058824,0.000000,0.000000,0.193504,0.536950,0.047781,0.526268,0.061822,0.028235,0.003248,0.019563,0.128095,0.020733,1
0.080000,0.080000,0.000000,0.000000,0.080000,0.040000,0.000000,0.040000,0.120000,0.040000,0.040000,0.000000,0.040000,0.040000,0.200000,0.040000,0.040000,0.040000,0.080000,0.000000,0.051753,0.213475,0.084935,0.056112,0.005993,0.024614,0.074994,1.017875,0.049785,0.407607,1
0.238095,0.000000,0.000000,0.047619,0.047619,0.000000,0.000000,0.238095,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000,0.238095,0.047619,0.000000,0.000000,0.015675,0.076050,0.146167,0.012373,0.012739,0.546667,0.010029,0.217108,0.031109,0.453724,1
0.115385,0.000000,0.000000,0.000000,0.038462,0.076923,0.000000,0.038462,0.230769,0.076923,0.038462,0.000000,0.000000,0.076923,0.000000,0.115385,0.038462,0.038462,0.076923,0.038462,0.001733,0.007161,0.046067,0.229983,0.031176,0.165205,0.065274,0.060696,0.097394,0.685092,1
0.222222,0.000000,0.000000,0.037037,0.037037,0.185185,0.037037,0.074074,0.111111,0.148148,0.000000,0.037037,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.000000,0.000000,0.028354,0.118486,0.021617,0.648286,0.044513,0.063767,0.112254,0.092128,0.040450,1.268922,1
